regime,split,acc,lo,hi,n
C0_ungrounded,test,0.6311111111111111,0.6,0.6622222222222223,900
C0_ungrounded,ood,0.76,0.7322222222222222,0.7877777777777778,900
C1_deduction,test,0.6077777777777778,0.5766666666666667,0.6388888888888888,900
C1_deduction,ood,0.7655555555555555,0.7377777777777778,0.7933333333333333,900
C2_induction,test,0.6366666666666667,0.6055555555555555,0.6677777777777778,900
C2_induction,ood,0.7188888888888889,0.69,0.7477777777777778,900
C3_empirical,test,0.6755555555555556,0.6444444444444445,0.7055555555555556,900
C3_empirical,ood,0.7388888888888889,0.71,0.7666666666666667,900
C4_literature_compare,test,0.6011111111111112,0.5688888888888889,0.6333333333333333,900
C4_literature_compare,ood,0.7211111111111111,0.6922222222222222,0.75,900
C5_proposal,test,0.5744444444444444,0.5422222222222223,0.6066666666666667,900
C5_proposal,ood,0.7288888888888889,0.7,0.7577777777777778,900
